NUMBER;ACTIVITY;LOCATION;TYPE;PLACE
1;Sleeping;Bed;Pressure;Bedroom
2;Toileting;Cabinet;Magnetic;Bathroom
3;Toileting;Basin;PIR;Bathroom
4;Toileting;Toilet;Flush;Bathroom
5;Showering;Shower;PIR;Bathroom
6;Breakfast;Fridge;Magnetic;Kitchen
7;Breakfast;Cupboard;Magnetic;Kitchen
8;Breakfast;Toaster;Electric;Kitchen
9;Breakfast;Fridge;Magnetic;Kitchen
10;Breakfast;Cupboard;Magnetic;Kitchen
11;Breakfast;Cooktop;PIR;Kitchen
12;Breakfast;Microwave;Electric;Kitchen
13;Grooming;Basin;PIR;Bathroom
14;Spare_Time/TV;Seat;Pressure;Living
15;Toileting;Basin;PIR;Bathroom
16;Toileting;Toilet;Flush;Bathroom
17;Leaving;Maindoor;Magnetic;Entrance
18;Leaving;Maindoor;Magnetic;Entrance
19;Spare_Time/TV;Seat;Pressure;Living
20;Toileting;Toilet;Flush;Bathroom
21;Lunch;Fridge;Magnetic;Kitchen
22;Lunch;Cupboard;Magnetic;Kitchen
23;Lunch;Cooktop;PIR;Kitchen
24;Lunch;Cupboard;Magnetic;Kitchen
25;Lunch;Fridge;Magnetic;Kitchen
26;Grooming;Basin;PIR;Bathroom
27;Spare_Time/TV;Seat;Pressure;Living
28;Snack;Fridge;Magnetic;Kitchen
29;Spare_Time/TV;Seat;Pressure;Living
30;Sleeping;Bed;Pressure;Bedroom
31;Toileting;Toilet;Flush;Bathroom
32;Grooming;Basin;PIR;Bathroom
33;Grooming;Cabinet;Magnetic;Bathroom
34;Grooming;Cabinet;Magnetic;Bathroom
35;Showering;Shower;PIR;Bathroom
36;Breakfast;Cupboard;Magnetic;Kitchen
37;Breakfast;Toaster;Electric;Kitchen
38;Breakfast;Fridge;Magnetic;Kitchen
39;Breakfast;Microwave;Electric;Kitchen
40;Grooming;Cabinet;Magnetic;Bathroom
41;Grooming;Basin;PIR;Bathroom
42;Grooming;Toilet;Flush;Bathroom
43;Spare_Time/TV;Seat;Pressure;Living
44;Snack;Fridge;Magnetic;Kitchen
45;Spare_Time/TV;Seat;Pressure;Living
46;Toileting;Toilet;Flush;Bathroom
47;Toileting;Basin;PIR;Bathroom
48;Lunch;Cupboard;Magnetic;Kitchen
49;Lunch;Cooktop;PIR;Kitchen
50;Lunch;Microwave;Electric;Kitchen
51;Lunch;Cupboard;Magnetic;Kitchen
52;Lunch;Fridge;Magnetic;Kitchen
53;Lunch;Cupboard;Magnetic;Kitchen
54;Lunch;Fridge;Magnetic;Kitchen
55;Grooming;Basin;PIR;Bathroom
56;Spare_Time/TV;Seat;Pressure;Living
57;Toileting;Toilet;Flush;Bathroom
58;Spare_Time/TV;Seat;Pressure;Living
59;Toileting;Basin;PIR;Bathroom
60;Toileting;Toilet;Flush;Bathroom
61;Spare_Time/TV;Seat;Pressure;Living
62;Leaving;Maindoor;Magnetic;Entrance
63;Leaving;Maindoor;Magnetic;Entrance
64;Spare_Time/TV;Seat;Pressure;Living
65;Sleeping;Bed;Pressure;Bedroom
66;Toileting;Toilet;Flush;Bathroom
67;Showering;Shower;PIR;Bathroom
68;Breakfast;Cupboard;Magnetic;Kitchen
69;Breakfast;Fridge;Magnetic;Kitchen
70;Breakfast;Microwave;Electric;Kitchen
71;Breakfast;Toaster;Electric;Kitchen
72;Grooming;Basin;PIR;Bathroom
73;Grooming;Cabinet;Magnetic;Bathroom
74;Spare_Time/TV;Seat;Pressure;Living
75;Snack;Fridge;Magnetic;Kitchen
76;Spare_Time/TV;Seat;Pressure;Living
77;Toileting;Toilet;Flush;Bathroom
78;Toileting;Basin;PIR;Bathroom
79;Spare_Time/TV;Seat;Pressure;Living
80;Lunch;Cooktop;PIR;Kitchen
81;Lunch;Cupboard;Magnetic;Kitchen
82;Lunch;Fridge;Magnetic;Kitchen
83;Lunch;Fridge;Magnetic;Kitchen
84;Lunch;Fridge;Magnetic;Kitchen
85;Spare_Time/TV;Seat;Pressure;Living
86;Toileting;Toilet;Flush;Bathroom
87;Toileting;Basin;PIR;Bathroom
88;Snack;Fridge;Magnetic;Kitchen
89;Spare_Time/TV;Seat;Pressure;Living
90;Toileting;Basin;PIR;Bathroom
91;Toileting;Toilet;Flush;Bathroom
92;Spare_Time/TV;Seat;Pressure;Living
93;Toileting;Toilet;Flush;Bathroom
94;Spare_Time/TV;Seat;Pressure;Living
95;Toileting;Toilet;Flush;Bathroom
96;Toileting;Basin;PIR;Bathroom
97;Leaving;Maindoor;Magnetic;Entrance
98;Leaving;Maindoor;Magnetic;Entrance
99;Grooming;Basin;PIR;Bathroom
100;Spare_Time/TV;Seat;Pressure;Living
101;Sleeping;Bed;Pressure;Bedroom
102;Grooming;Toilet;Flush;Bathroom
103;Grooming;Cabinet;Magnetic;Bathroom
104;Grooming;Basin;PIR;Bathroom
105;Showering;Shower;PIR;Bathroom
106;Breakfast;Toaster;Electric;Kitchen
107;Breakfast;Cupboard;Magnetic;Kitchen
108;Breakfast;Fridge;Magnetic;Kitchen
109;Breakfast;Microwave;Electric;Kitchen
110;Spare_Time/TV;Seat;Pressure;Living
111;Lunch;Cooktop;PIR;Kitchen
112;Lunch;Microwave;Electric;Kitchen
113;Lunch;Fridge;Magnetic;Kitchen
114;Lunch;Fridge;Magnetic;Kitchen
115;Spare_Time/TV;Seat;Pressure;Living
116;Toileting;Toilet;Flush;Bathroom
117;Grooming;Basin;PIR;Bathroom
118;Leaving;Maindoor;Magnetic;Entrance
119;Leaving;Maindoor;Magnetic;Entrance
120;Spare_Time/TV;Seat;Pressure;Living
121;Toileting;Toilet;Flush;Bathroom
122;Spare_Time/TV;Seat;Pressure;Living
123;Grooming;Basin;PIR;Bathroom
124;Spare_Time/TV;Seat;Pressure;Living
125;Grooming;Basin;PIR;Bathroom
126;Spare_Time/TV;Seat;Pressure;Living
127;Grooming;Basin;PIR;Bathroom
128;Sleeping;Bed;Pressure;Bedroom
129;Toileting;Toilet;Flush;Bathroom
130;Toileting;Basin;PIR;Bathroom
131;Toileting;Cabinet;Magnetic;Bathroom
132;Showering;Shower;PIR;Bathroom
133;Breakfast;Cupboard;Magnetic;Kitchen
134;Breakfast;Fridge;Magnetic;Kitchen
135;Breakfast;Toaster;Electric;Kitchen
136;Breakfast;Microwave;Electric;Kitchen
