ACTIVITY         LOCATION  TYPE      PLACE     
Sleeping         Basin     PIR       Bathroom  
Breakfast        Toilet    Flush     Bathroom  
Breakfast        Shower    PIR       Bathroom  
Breakfast        Fridge    Magnetic  Kitchen   
Breakfast        Cupboard  Magnetic  Kitchen   
Breakfast        Toaster   Electric  Kitchen   
Breakfast        Fridge    Magnetic  Kitchen   
Breakfast        Cupboard  Magnetic  Kitchen   
Grooming         Cooktop   PIR       Kitchen   
Spare_Time/TV    Basin     PIR       Bathroom  
