ACTIVITY         LOCATION  TYPE      PLACE     
Sleeping         Bed       Pressure  Bedroom   
Toileting        Cabinet   Magnetic  Bathroom  
Toileting        Basin     PIR       Bathroom  
Toileting        Toilet    Flush     Bathroom  
Showering        Shower    PIR       Bathroom  
Breakfast        Fridge    Magnetic  Kitchen   
Breakfast        Cupboard  Magnetic  Kitchen   
Breakfast        Toaster   Electric  Kitchen   
Breakfast        Fridge    Magnetic  Kitchen   
Breakfast        Cupboard  Magnetic  Kitchen   
Breakfast        Cooktop   PIR       Kitchen   
Breakfast        Microwave Electric  Kitchen   
Grooming         Basin     PIR       Bathroom  
Spare_Time/TV    Seat      Pressure  Living    
Toileting        Basin     PIR       Bathroom  
Toileting        Toilet    Flush     Bathroom  
Leaving          Maindoor  Magnetic  Entrance  
Leaving          Maindoor  Magnetic  Entrance  
Spare_Time/TV    Seat      Pressure  Living    
Toileting        Toilet    Flush     Bathroom  
Lunch            Fridge    Magnetic  Kitchen   
Lunch            Cupboard  Magnetic  Kitchen   
Lunch            Cooktop   PIR       Kitchen   
Lunch            Cupboard  Magnetic  Kitchen   
Lunch            Fridge    Magnetic  Kitchen   
Grooming         Basin     PIR       Bathroom  
Spare_Time/TV    Seat      Pressure  Living    
Snack            Fridge    Magnetic  Kitchen   
Spare_Time/TV    Seat      Pressure  Living    
Sleeping         Bed       Pressure  Bedroom   
Toileting        Toilet    Flush     Bathroom  
Grooming         Basin     PIR       Bathroom  
Grooming         Cabinet   Magnetic  Bathroom  
Grooming         Cabinet   Magnetic  Bathroom  
Showering        Shower    PIR       Bathroom  
Breakfast        Cupboard  Magnetic  Kitchen   
Breakfast        Toaster   Electric  Kitchen   
Breakfast        Fridge    Magnetic  Kitchen   
Breakfast        Microwave Electric  Kitchen   
Grooming         Cabinet   Magnetic  Bathroom  
Grooming         Basin     PIR       Bathroom  
Grooming         Toilet    Flush     Bathroom  
Spare_Time/TV    Seat      Pressure  Living    
Snack            Fridge    Magnetic  Kitchen   
Spare_Time/TV    Seat      Pressure  Living    
Toileting        Toilet    Flush     Bathroom  
Toileting        Basin     PIR       Bathroom  
Lunch            Cupboard  Magnetic  Kitchen   
Lunch            Cooktop   PIR       Kitchen   
Lunch            Microwave Electric  Kitchen   
Lunch            Cupboard  Magnetic  Kitchen   
Lunch            Fridge    Magnetic  Kitchen   
Lunch            Cupboard  Magnetic  Kitchen   
Lunch            Fridge    Magnetic  Kitchen   
Grooming         Basin     PIR       Bathroom  
Spare_Time/TV    Seat      Pressure  Living    
Toileting        Toilet    Flush     Bathroom  
Spare_Time/TV    Seat      Pressure  Living    
Toileting        Basin     PIR       Bathroom  
Toileting        Toilet    Flush     Bathroom  
Spare_Time/TV    Seat      Pressure  Living    
Leaving          Maindoor  Magnetic  Entrance  
Leaving          Maindoor  Magnetic  Entrance  
Spare_Time/TV    Seat      Pressure  Living    
Sleeping         Bed       Pressure  Bedroom   
Toileting        Toilet    Flush     Bathroom  
Showering        Shower    PIR       Bathroom  
Breakfast        Cupboard  Magnetic  Kitchen   
Breakfast        Fridge    Magnetic  Kitchen   
Breakfast        Microwave Electric  Kitchen   
Breakfast        Toaster   Electric  Kitchen   
Grooming         Basin     PIR       Bathroom  
Grooming         Cabinet   Magnetic  Bathroom  
Spare_Time/TV    Seat      Pressure  Living    
Snack            Fridge    Magnetic  Kitchen   
Spare_Time/TV    Seat      Pressure  Living    
Toileting        Toilet    Flush     Bathroom  
Toileting        Basin     PIR       Bathroom  
Spare_Time/TV    Seat      Pressure  Living    
Lunch            Cooktop   PIR       Kitchen   
Lunch            Cupboard  Magnetic  Kitchen   
Lunch            Fridge    Magnetic  Kitchen   
Lunch            Fridge    Magnetic  Kitchen   
Lunch            Fridge    Magnetic  Kitchen   
